"Deck","Topic","Front","Back","Type","Tags","Caveat"
"IA Practitioner","Fundamentos de Prompt Engineering","Buenas prácticas de prompt: ser {{c1::claro y específico}}, indicar {{c2::longitud}}, incluir {{c3::contexto}}, evitar preguntas {{c4::amplias}} y especificar {{c5::formato}}.","","cloze","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::cloze",""
"IA Practitioner","Fundamentos de Prompt Engineering","¿Qué es una alucinación?","Afirmación creíble pero incorrecta o inventada.","basic","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::basic",""
"IA Practitioner","Fundamentos de Prompt Engineering","¿Qué es prompt injection?","Manipulación maliciosa de la entrada para cambiar el comportamiento del modelo.","basic","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::basic",""
"IA Practitioner","Fundamentos de Prompt Engineering","¿Qué es prompt leaking?","Divulgación no intencional de prompts o entradas internas.","basic","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::basic",""
"IA Practitioner","Fundamentos de Prompt Engineering","¿Qué es jailbreaking?","Manipulación para ignorar medidas de seguridad.","basic","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::basic",""
"IA Practitioner","Fundamentos de Prompt Engineering","¿Prompt Engineering entrena el modelo?","No; diseña instrucciones.","basic","deck::ia-practitioner topic::fundamentos-de-prompt-engineering card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué es seguridad en IA?","Protección contra amenazas, vulnerabilidades y accesos no autorizados para un funcionamiento confiable y seguro.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué riesgos evita la seguridad en IA?","Riesgos que comprometan integridad o privacidad de datos.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué es gobernanza en IA?","Políticas, directrices y mecanismos de supervisión para gestionar IA según objetivos organizacionales.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué busca mejorar la gobernanza en IA?","La confianza y el aporte de valor.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué es responsabilidad en IA?","Desarrollo y uso transparente, justo y ético.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Responsabilidad en IA incluye {{c1::evaluación de riesgos}}, {{c2::mitigación de sesgos}} y {{c3::prevención de daños no intencionados}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","La responsabilidad en IA debe considerarse en {{c1::diseño}}, {{c2::desarrollo}}, {{c3::despliegue}}, {{c4::monitoreo}} y {{c5::evaluación}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué es cumplimiento en IA?","Adhesión a leyes, normativas y estándares para operar dentro de marcos legales y éticos.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Dimensiones de IA responsable incluyen {{c1::equidad}}, {{c2::explicabilidad}}, {{c3::privacidad y seguridad}}, {{c4::control}}, {{c5::veracidad y solidez}}, {{c6::gobernanza}} y {{c7::transparencia}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué servicio AWS ayuda a detectar/mitigar sesgos y explicar predicciones?","SageMaker Clarify.","scenario","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::scenario",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué herramienta AWS ayuda a detectar predicciones inexactas y problemas de modelo?","SageMaker Model Monitor.","scenario","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::scenario",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué servicio se usa para revisión humana cuando sea necesario?","Amazon Augmented AI.","scenario","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::scenario",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué documentan las AWS AI Service Cards?","Casos de uso previstos, equidad, diseño responsable, mejores prácticas y rendimiento.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué prohíbe la Responsible AI Policy según la fuente?","Desinformación, violación de privacidad, suplantación, abuso o daños.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Para decisiones importantes se deben implementar {{c1::guardrails}} y {{c2::pruebas humanas}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿De qué son responsables los usuarios respecto a salidas probabilísticas o inexactas?","De evaluar precisión y adecuación de las salidas.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué estándares/regulaciones menciona la fuente?","ISO 42001, SOC 2, leyes de responsabilidad algorítmica, GDPR, EEOC y NIST.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Cómo apoyan SageMaker Model Cards al cumplimiento?","Documentan origen de datos, fuentes, licencias, sesgos, pruebas y consideraciones para transparencia, cumplimiento y auditoría.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Ciclo de vida de datos: {{c1::creación}}, {{c2::almacenamiento}}, {{c3::uso/procesamiento}}, {{c4::transferencia}}, {{c5::archivado}} y {{c6::eliminación}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué es residencia de datos?","Almacenar datos en regiones que cumplen regulación local.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué implica retención de datos?","Conservar datos solo el tiempo necesario.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Defensa en profundidad incluye {{c1::políticas}}, {{c2::físico}}, {{c3::perímetro}}, {{c4::redes}}, {{c5::hosts}}, {{c6::aplicaciones}} y {{c7::datos}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué servicio es fundamental para control de acceso y mínimo privilegio?","IAM.","scenario","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::scenario",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué ayuda a identificar y responder ataques?","GuardDuty.","scenario","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::scenario",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué protege el cifrado en reposo?","Datos almacenados.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué protege el cifrado en tránsito?","Datos entre sistemas.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","AWS Config = {{c1::audita y monitorea configuraciones}}; CloudTrail = {{c2::registra actividad API}}; Audit Manager = {{c3::recopila evidencia}}; Artifact = {{c4::informes/acuerdos}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué hace Amazon Inspector?","Análisis automatizado de vulnerabilidades.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","¿Qué ofrece AWS Trusted Advisor?","Recomendaciones de seguridad, rendimiento y costes.","basic","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::basic",""
"IA Practitioner","Responsabilidad, Cumplimiento, Gobernanza y Seguridad en IA","Modelo de responsabilidad compartida: AWS protege {{c1::seguridad del cloud}}; cliente protege {{c2::seguridad dentro del cloud}}.","","cloze","deck::ia-practitioner topic::responsabilidad-cumplimiento-gobernanza-y-seguridad-en-ia card::cloze",""
